Simulation Stats for User 1 | House 1 Bedroom 1 | Window 20260412_to_20260413
[User 1 | 2026-04-12 23:23] Sleep Phase=REM   Temp=21.94°C, Pres=1, HR=68.09bpm, Vib=0.0033g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:24] Sleep Phase=REM   Temp=21.93°C, Pres=1, HR=64.10bpm, Vib=0.0051g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:25] Sleep Phase=REM   Temp=21.92°C, Pres=1, HR=66.63bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:26] Sleep Phase=REM   Temp=21.91°C, Pres=1, HR=64.34bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:27] Sleep Phase=REM   Temp=21.91°C, Pres=1, HR=66.53bpm, Vib=0.0040g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:28] Sleep Phase=REM   Temp=21.90°C, Pres=1, HR=68.91bpm, Vib=0.0058g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:29] Sleep Phase=REM   Temp=21.89°C, Pres=1, HR=68.38bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:30] Sleep Phase=LIGHT Temp=21.88°C, Pres=1, HR=63.27bpm, Vib=0.0049g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:31] Sleep Phase=LIGHT Temp=21.87°C, Pres=1, HR=61.40bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:32] Sleep Phase=LIGHT Temp=21.86°C, Pres=1, HR=66.88bpm, Vib=0.0067g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:33] Sleep Phase=LIGHT Temp=21.86°C, Pres=1, HR=64.22bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:34] Sleep Phase=LIGHT Temp=21.85°C, Pres=1, HR=63.36bpm, Vib=0.0068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:35] Sleep Phase=LIGHT Temp=21.84°C, Pres=1, HR=64.39bpm, Vib=0.0062g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:36] Sleep Phase=LIGHT Temp=21.83°C, Pres=1, HR=66.39bpm, Vib=0.0053g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:37] Sleep Phase=LIGHT Temp=21.82°C, Pres=1, HR=60.23bpm, Vib=0.0041g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:38] Sleep Phase=LIGHT Temp=21.81°C, Pres=1, HR=57.90bpm, Vib=0.0051g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:39] Sleep Phase=LIGHT Temp=21.81°C, Pres=1, HR=58.98bpm, Vib=0.0061g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:40] Sleep Phase=LIGHT Temp=21.80°C, Pres=1, HR=63.33bpm, Vib=0.0068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:41] Sleep Phase=LIGHT Temp=21.79°C, Pres=1, HR=57.94bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:42] Sleep Phase=LIGHT Temp=21.78°C, Pres=1, HR=57.77bpm, Vib=0.0068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:43] Sleep Phase=LIGHT Temp=21.77°C, Pres=1, HR=57.92bpm, Vib=0.0061g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:44] Sleep Phase=LIGHT Temp=21.76°C, Pres=1, HR=62.39bpm, Vib=0.0051g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:45] Sleep Phase=LIGHT Temp=21.76°C, Pres=1, HR=60.67bpm, Vib=0.0041g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:46] Sleep Phase=LIGHT Temp=21.75°C, Pres=1, HR=63.00bpm, Vib=0.0052g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:47] Sleep Phase=LIGHT Temp=21.74°C, Pres=1, HR=61.32bpm, Vib=0.0062g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:48] Sleep Phase=LIGHT Temp=21.73°C, Pres=1, HR=65.92bpm, Vib=0.0068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:49] Sleep Phase=LIGHT Temp=21.72°C, Pres=1, HR=65.63bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:50] Sleep Phase=DEEP  Temp=21.71°C, Pres=1, HR=59.08bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:51] Sleep Phase=DEEP  Temp=21.71°C, Pres=1, HR=61.36bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:52] Sleep Phase=DEEP  Temp=21.70°C, Pres=1, HR=58.78bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:53] Sleep Phase=DEEP  Temp=21.69°C, Pres=1, HR=58.59bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:54] Sleep Phase=DEEP  Temp=21.68°C, Pres=1, HR=58.39bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:55] Sleep Phase=DEEP  Temp=21.67°C, Pres=1, HR=59.20bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:56] Sleep Phase=DEEP  Temp=21.66°C, Pres=1, HR=61.12bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:57] Sleep Phase=DEEP  Temp=21.66°C, Pres=1, HR=60.88bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:58] Sleep Phase=DEEP  Temp=21.65°C, Pres=1, HR=57.45bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-12 23:59] Sleep Phase=DEEP  Temp=21.64°C, Pres=1, HR=59.25bpm, Vib=0.0018g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:00] Sleep Phase=DEEP  Temp=21.63°C, Pres=1, HR=58.62bpm, Vib=0.0018g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:01] Sleep Phase=DEEP  Temp=21.62°C, Pres=1, HR=57.06bpm, Vib=0.0017g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:02] Sleep Phase=DEEP  Temp=21.61°C, Pres=1, HR=59.43bpm, Vib=0.0016g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:03] Sleep Phase=DEEP  Temp=21.61°C, Pres=1, HR=60.02bpm, Vib=0.0015g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:04] Sleep Phase=DEEP  Temp=21.60°C, Pres=1, HR=57.41bpm, Vib=0.0014g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:05] Sleep Phase=DEEP  Temp=21.59°C, Pres=1, HR=60.13bpm, Vib=0.0013g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:06] Sleep Phase=DEEP  Temp=21.58°C, Pres=1, HR=57.28bpm, Vib=0.0012g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:07] Sleep Phase=DEEP  Temp=21.57°C, Pres=1, HR=58.97bpm, Vib=0.0011g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:08] Sleep Phase=DEEP  Temp=21.56°C, Pres=1, HR=59.21bpm, Vib=0.0010g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:09] Sleep Phase=DEEP  Temp=21.56°C, Pres=1, HR=60.02bpm, Vib=0.0011g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:10] Sleep Phase=LIGHT Temp=21.55°C, Pres=1, HR=64.85bpm, Vib=0.0057g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:11] Sleep Phase=LIGHT Temp=21.54°C, Pres=1, HR=66.95bpm, Vib=0.0065g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:12] Sleep Phase=LIGHT Temp=21.53°C, Pres=1, HR=62.41bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:13] Sleep Phase=LIGHT Temp=21.52°C, Pres=1, HR=60.31bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:14] Sleep Phase=LIGHT Temp=21.51°C, Pres=1, HR=65.58bpm, Vib=0.0064g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:15] Sleep Phase=LIGHT Temp=21.51°C, Pres=1, HR=60.91bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:16] Sleep Phase=LIGHT Temp=21.50°C, Pres=1, HR=64.33bpm, Vib=0.0044g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:17] Sleep Phase=LIGHT Temp=21.49°C, Pres=1, HR=62.85bpm, Vib=0.0048g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:18] Sleep Phase=LIGHT Temp=21.48°C, Pres=1, HR=65.54bpm, Vib=0.0058g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:19] Sleep Phase=LIGHT Temp=21.47°C, Pres=1, HR=62.84bpm, Vib=0.0066g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:20] Sleep Phase=LIGHT Temp=21.46°C, Pres=1, HR=60.74bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:21] Sleep Phase=LIGHT Temp=21.46°C, Pres=1, HR=57.71bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:22] Sleep Phase=LIGHT Temp=21.45°C, Pres=1, HR=59.87bpm, Vib=0.0063g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:23] Sleep Phase=LIGHT Temp=21.44°C, Pres=1, HR=58.79bpm, Vib=0.0054g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:24] Sleep Phase=LIGHT Temp=21.43°C, Pres=1, HR=58.67bpm, Vib=0.0042g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:25] Sleep Phase=LIGHT Temp=21.42°C, Pres=1, HR=59.21bpm, Vib=0.0049g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:26] Sleep Phase=LIGHT Temp=21.41°C, Pres=1, HR=61.02bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:27] Sleep Phase=LIGHT Temp=21.41°C, Pres=1, HR=63.43bpm, Vib=0.0067g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:28] Sleep Phase=LIGHT Temp=21.40°C, Pres=1, HR=64.61bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:29] Sleep Phase=LIGHT Temp=21.39°C, Pres=1, HR=58.97bpm, Vib=0.0068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:30] Sleep Phase=LIGHT Temp=21.38°C, Pres=1, HR=64.83bpm, Vib=0.0062g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:31] Sleep Phase=LIGHT Temp=21.37°C, Pres=1, HR=66.51bpm, Vib=0.0052g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:32] Sleep Phase=LIGHT Temp=21.36°C, Pres=1, HR=64.55bpm, Vib=0.0041g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:33] Sleep Phase=LIGHT Temp=21.36°C, Pres=1, HR=63.95bpm, Vib=0.0051g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:34] Sleep Phase=LIGHT Temp=21.35°C, Pres=1, HR=59.93bpm, Vib=0.0061g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:35] Sleep Phase=REM   Temp=21.34°C, Pres=1, HR=69.01bpm, Vib=0.0059g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:36] Sleep Phase=REM   Temp=21.33°C, Pres=1, HR=66.65bpm, Vib=0.0041g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:37] Sleep Phase=REM   Temp=21.32°C, Pres=1, HR=66.12bpm, Vib=0.0045g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:38] Sleep Phase=REM   Temp=21.31°C, Pres=1, HR=70.00bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:39] Sleep Phase=REM   Temp=21.31°C, Pres=1, HR=71.67bpm, Vib=0.0052g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:40] Sleep Phase=REM   Temp=21.30°C, Pres=1, HR=63.50bpm, Vib=0.0032g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:41] Sleep Phase=REM   Temp=21.29°C, Pres=1, HR=63.29bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:42] Sleep Phase=REM   Temp=21.28°C, Pres=1, HR=71.93bpm, Vib=0.0059g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:43] Sleep Phase=REM   Temp=21.27°C, Pres=1, HR=66.93bpm, Vib=0.0041g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:44] Sleep Phase=REM   Temp=21.26°C, Pres=1, HR=67.78bpm, Vib=0.0045g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:45] Sleep Phase=REM   Temp=21.26°C, Pres=1, HR=66.72bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:46] Sleep Phase=REM   Temp=21.25°C, Pres=1, HR=67.63bpm, Vib=0.0052g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:47] Sleep Phase=REM   Temp=21.24°C, Pres=1, HR=67.61bpm, Vib=0.0033g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:48] Sleep Phase=REM   Temp=21.23°C, Pres=1, HR=69.09bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:49] Sleep Phase=REM   Temp=21.22°C, Pres=1, HR=71.64bpm, Vib=0.0058g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:50] Sleep Phase=REM   Temp=21.21°C, Pres=1, HR=69.95bpm, Vib=0.0040g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:51] Sleep Phase=REM   Temp=21.21°C, Pres=1, HR=66.25bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:52] Sleep Phase=REM   Temp=21.20°C, Pres=1, HR=63.85bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:53] Sleep Phase=REM   Temp=21.19°C, Pres=1, HR=71.69bpm, Vib=0.0051g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:54] Sleep Phase=AWAKE Temp=21.18°C, Pres=1, HR=76.41bpm, Vib=0.1145g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:55] Sleep Phase=REM   Temp=21.17°C, Pres=1, HR=67.83bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:56] Sleep Phase=REM   Temp=21.16°C, Pres=1, HR=71.55bpm, Vib=0.0058g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:57] Sleep Phase=REM   Temp=21.16°C, Pres=1, HR=67.14bpm, Vib=0.0040g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:58] Sleep Phase=REM   Temp=21.15°C, Pres=1, HR=66.27bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 00:59] Sleep Phase=REM   Temp=21.14°C, Pres=1, HR=66.44bpm, Vib=0.0060g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:00] Sleep Phase=LIGHT Temp=21.13°C, Pres=1, HR=59.64bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:01] Sleep Phase=LIGHT Temp=21.12°C, Pres=1, HR=59.99bpm, Vib=0.0065g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:02] Sleep Phase=LIGHT Temp=21.11°C, Pres=1, HR=60.73bpm, Vib=0.0057g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:03] Sleep Phase=LIGHT Temp=21.11°C, Pres=1, HR=59.88bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:04] Sleep Phase=LIGHT Temp=21.10°C, Pres=1, HR=57.53bpm, Vib=0.0046g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:05] Sleep Phase=LIGHT Temp=21.09°C, Pres=1, HR=60.22bpm, Vib=0.0057g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:06] Sleep Phase=LIGHT Temp=21.08°C, Pres=1, HR=62.79bpm, Vib=0.0065g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:07] Sleep Phase=LIGHT Temp=21.07°C, Pres=1, HR=57.18bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:08] Sleep Phase=LIGHT Temp=21.06°C, Pres=1, HR=59.31bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:09] Sleep Phase=LIGHT Temp=21.06°C, Pres=1, HR=63.16bpm, Vib=0.0064g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:10] Sleep Phase=LIGHT Temp=21.05°C, Pres=1, HR=60.30bpm, Vib=0.0055g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:11] Sleep Phase=LIGHT Temp=21.04°C, Pres=1, HR=62.73bpm, Vib=0.0044g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:12] Sleep Phase=LIGHT Temp=21.03°C, Pres=1, HR=64.98bpm, Vib=0.0048g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:13] Sleep Phase=LIGHT Temp=21.02°C, Pres=1, HR=63.73bpm, Vib=0.0059g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:14] Sleep Phase=LIGHT Temp=21.01°C, Pres=1, HR=59.78bpm, Vib=0.0066g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:15] Sleep Phase=LIGHT Temp=21.01°C, Pres=1, HR=59.59bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:16] Sleep Phase=LIGHT Temp=21.00°C, Pres=1, HR=67.00bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:17] Sleep Phase=LIGHT Temp=20.99°C, Pres=1, HR=62.43bpm, Vib=0.0063g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:18] Sleep Phase=LIGHT Temp=20.98°C, Pres=1, HR=61.61bpm, Vib=0.0054g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:19] Sleep Phase=LIGHT Temp=20.97°C, Pres=1, HR=62.35bpm, Vib=0.0042g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:20] Sleep Phase=DEEP  Temp=20.96°C, Pres=1, HR=58.94bpm, Vib=0.0018g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:21] Sleep Phase=DEEP  Temp=20.96°C, Pres=1, HR=59.74bpm, Vib=0.0018g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:22] Sleep Phase=DEEP  Temp=20.95°C, Pres=1, HR=60.11bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:23] Sleep Phase=DEEP  Temp=20.94°C, Pres=1, HR=58.51bpm, Vib=0.0019g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:24] Sleep Phase=DEEP  Temp=20.93°C, Pres=1, HR=59.95bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:25] Sleep Phase=DEEP  Temp=20.92°C, Pres=1, HR=58.81bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:26] Sleep Phase=DEEP  Temp=20.91°C, Pres=1, HR=57.31bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:27] Sleep Phase=DEEP  Temp=20.91°C, Pres=1, HR=57.07bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:28] Sleep Phase=DEEP  Temp=20.90°C, Pres=1, HR=57.89bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:29] Sleep Phase=DEEP  Temp=20.89°C, Pres=1, HR=57.90bpm, Vib=0.0020g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:30] Sleep Phase=LIGHT Temp=20.88°C, Pres=1, HR=60.03bpm, Vib=0.0068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:31] Sleep Phase=LIGHT Temp=20.87°C, Pres=1, HR=61.90bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:32] Sleep Phase=LIGHT Temp=20.86°C, Pres=1, HR=59.75bpm, Vib=0.0067g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:33] Sleep Phase=LIGHT Temp=20.86°C, Pres=1, HR=65.08bpm, Vib=0.0061g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:34] Sleep Phase=LIGHT Temp=20.85°C, Pres=1, HR=62.39bpm, Vib=0.0050g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:35] Sleep Phase=LIGHT Temp=20.84°C, Pres=1, HR=63.48bpm, Vib=0.0041g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:36] Sleep Phase=LIGHT Temp=20.83°C, Pres=1, HR=59.94bpm, Vib=0.0053g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:37] Sleep Phase=LIGHT Temp=20.82°C, Pres=1, HR=65.86bpm, Vib=0.0062g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:38] Sleep Phase=LIGHT Temp=20.81°C, Pres=1, HR=66.24bpm, Vib=0.0068g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:39] Sleep Phase=LIGHT Temp=20.81°C, Pres=1, HR=62.41bpm, Vib=0.0070g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:40] Sleep Phase=LIGHT Temp=20.80°C, Pres=1, HR=64.32bpm, Vib=0.0067g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:41] Sleep Phase=LIGHT Temp=20.79°C, Pres=1, HR=64.84bpm, Vib=0.0059g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:42] Sleep Phase=LIGHT Temp=20.78°C, Pres=1, HR=60.94bpm, Vib=0.0049g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:43] Sleep Phase=LIGHT Temp=20.77°C, Pres=1, HR=64.97bpm, Vib=0.0043g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:44] Sleep Phase=LIGHT Temp=20.76°C, Pres=1, HR=60.04bpm, Vib=0.0054g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:45] Sleep Phase=LIGHT Temp=20.76°C, Pres=1, HR=59.84bpm, Vib=0.0064g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
[User 1 | 2026-04-13 01:46] Sleep Phase=LIGHT Temp=20.75°C, Pres=1, HR=57.45bpm, Vib=0.0069g | Phase=DAY | MQTT[L=50, F=OFF, H=OFF]
